id,srx_drx_1,srx_drx_2,drx_srx,drx_pps,pps_drx_1,pps_drx_2,pps_drx_3,pps_post,powerstroke,post_drx_1,post_drx_2,post_drx_3,post_drx_4,viscosity*,a_k_on,m_k_stiff
fibersim/dani-hypercube/sim_data/sample_10/sim_input/1/model_1.json,7.69388008117676,214.40885925293,100,137.174026489258,250,0.1,4,200,10.6093697545211,145.350891113281,2.99972105026245,5,4,7.79497854960353,30185989.7998225,1.60663802485643
fibersim/dani-hypercube/sim_data/sample_13/sim_input/1/model_1.json,18.4266681671143,77.8765258789063,100,254.084320068359,250,0.1,4,200,7.35867824215363,257.884948730469,2.80450010299683,5,4,1.16625976655719,4256495.79687454,3.9628387430116
fibersim/dani-hypercube/sim_data/sample_14/sim_input/1/model_1.json,29.7548675537109,20.199649810791,100,63.9129371643066,250,0.1,4,200,11.8126658471393,139.605224609375,2.20052719116211,5,4,7.12255732865842,12854874.7830032,1.67613985923568
fibersim/dani-hypercube/sim_data/sample_16/sim_input/1/model_1.json,9.37215614318848,562.325927734375,100,292.692718505859,250,0.1,4,200,11.3142009059925,270.490325927734,0.954522430896759,5,4,0.20324711201297,8940705.62199594,5.31426894142687
fibersim/dani-hypercube/sim_data/sample_18/sim_input/1/model_1.json,27.981409072876,48.6314201354981,100,111.471794128418,250,0.1,4,200,12.5240340627362,399.440216064453,2.04251575469971,5,4,6.38410548549408,5467307.39344366,1.99519639967693
fibersim/dani-hypercube/sim_data/sample_19/sim_input/1/model_1.json,4.41418504714966,30.6771335601807,100,523.216064453125,250,0.1,4,200,21.1386859513014,591.18701171875,1.30876910686493,5,4,2.39418635051613,7785883.74272166,1.80786616744517
fibersim/dani-hypercube/sim_data/sample_2/sim_input/1/model_1.json,8.80044174194336,43.6903686523438,100,557.155944824219,250,0.1,4,200,17.9558681833829,69.8733291625977,2.40491271018982,5,4,0.583106697298291,6673663.08930444,2.75106872369441
fibersim/dani-hypercube/sim_data/sample_20/sim_input/1/model_1.json,5.75848770141602,141.212524414063,100,483.152923583984,250,0.1,4,200,16.6037115784289,516.34375,1.58662164211273,5,4,0.166471708139829,5333148.0622719,3.75579112621516
fibersim/dani-hypercube/sim_data/sample_21/sim_input/1/model_1.json,20.0254955291748,73.4692764282227,100,129.609893798828,250,0.1,4,200,13.4414960465065,117.54727935791,0.365003943443298,5,4,0.438254181021404,19793016.3141368,6.72997591248611
fibersim/dani-hypercube/sim_data/sample_23/sim_input/1/model_1.json,4.93784189224243,346.958984375,100,167.601425170898,250,0.1,4,200,15.7547045038688,276.057525634766,2.26183366775513,5,4,0.33812657892618,4371520.03868004,9.2261011194067
fibersim/dani-hypercube/sim_data/sample_24/sim_input/1/model_1.json,4.12489748001099,126.251876831055,100,335.245635986328,250,0.1,4,200,10.7696056665517,66.7068328857422,0.667594790458679,5,4,2.65305434780336,24877813.4589805,4.19128619442575
fibersim/dani-hypercube/sim_data/sample_26/sim_input/1/model_1.json,12.5670557022095,622.546997070313,100,103.395111083984,250,0.1,4,200,20.0823796049119,73.8598480224609,1.88719165325165,5,4,5.9715573715413,24049041.2393341,3.26679168191284
fibersim/dani-hypercube/sim_data/sample_27/sim_input/1/model_1.json,5.04176902770996,466.346008300781,100,126.081985473633,250,0.1,4,200,8.44234222187014,130.658264160156,0.646639585494995,5,4,0.126336339321099,18712861.6229164,7.74077105658687
fibersim/dani-hypercube/sim_data/sample_30/sim_input/1/model_1.json,17.2277908325195,36.6948471069336,100,184.563919067383,250,0.1,4,200,13.9865846481141,459.267547607422,1.09004366397858,5,4,0.217361496571488,5203660.27299518,3.02075625860767
fibersim/dani-hypercube/sim_data/sample_38/sim_input/1/model_1.json,13.7267436981201,24.8755588531494,100,358.308837890625,250,0.1,4,200,8.86973248538252,149.249954223633,0.730639100074768,5,4,0.979701141008274,6352216.58846266,7.59755420151041
fibersim/dani-hypercube/sim_data/sample_39/sim_input/1/model_1.json,25.5836791992188,65.6697769165039,100,276.701171875,250,0.1,4,200,5.95495698486956,78.7769546508789,2.53332161903381,5,4,5.75583778618766,15551295.3922741,6.04414831518618
fibersim/dani-hypercube/sim_data/sample_43/sim_input/1/model_1.json,14.7090654373169,109.543121337891,100,185.369476318359,250,0.1,4,200,13.3395589050681,102.627998352051,1.4975471496582,5,4,0.6976273309182,8791081.7951825,6.14010889402077
fibersim/dani-hypercube/sim_data/sample_45/sim_input/1/model_1.json,11.0974998474121,294.054718017578,100,92.9681930541992,250,0.1,4,200,7.96148519329602,210.139251708984,2.68341112136841,5,4,4.36050450149755,20516961.9780972,1.29106614984467
fibersim/dani-hypercube/sim_data/sample_47/sim_input/1/model_1.json,5.90508651733398,866.427185058594,100,241.845825195313,250,0.1,4,200,9.26987901025353,576.442932128906,1.55835974216461,5,4,0.788756301829717,10394538.9287674,1.46294070718532
fibersim/dani-hypercube/sim_data/sample_48/sim_input/1/model_1.json,11.5430679321289,450.422271728516,100,348.450622558594,250,0.1,4,200,12.3727628821293,554.655395507813,0.459265202283859,5,4,0.377043542229447,11431648.6921059,2.69311361504389
fibersim/dani-hypercube/sim_data/sample_5/sim_input/1/model_1.json,19.9049377441406,11.9845685958862,100,417.016052246094,250,0.1,4,200,6.33698029064427,486.443023681641,1.76061761379242,5,4,1.46334559342575,13356040.7452339,1.75085495778424
fibersim/dani-hypercube/sim_data/sample_51/sim_input/1/model_1.json,6.1288628578186,15.4732933044434,100,458.856506347656,250,0.1,4,200,9.6798648983972,112.45938873291,1.92560529708862,5,4,0.24799745695168,8525354.92631979,9.70065481942827
fibersim/dani-hypercube/sim_data/sample_52/sim_input/1/model_1.json,23.0075206756592,737.740234375,100,213.777923583984,250,0.1,4,200,5.62162567517077,160.318588256836,1.36122393608093,5,4,1.5652741828657,3236623.80886449,1.3805637370333
fibersim/dani-hypercube/sim_data/sample_53/sim_input/1/model_1.json,4.59352874755859,27.9111099243164,100,80.2260131835938,250,0.1,4,200,5.37395731650733,63.4792404174805,2.82858633995056,5,4,1.74992538870831,20888771.4518235,3.60307425735072
fibersim/dani-hypercube/sim_data/sample_56/sim_input/1/model_1.json,30.6763248443604,11.0701913833618,100,300.148803710938,250,0.1,4,200,17.5659613034733,201.932235717773,0.789224028587341,5,4,3.1794089494862,6276843.73190722,3.4474818369327
fibersim/dani-hypercube/sim_data/sample_7/sim_input/1/model_1.json,5.23574638366699,234.845428466797,100,156.014450073242,250,0.1,4,200,7.19775787805077,180.690216064453,1.84734690189362,5,4,0.156178963335257,12182774.8223013,2.15791390931781
